Drawing       Revision   Title
9005-S-08-0C    [3]      WAREHOUSE - STEEL WEIGHT SCHEDULES DETAILED - SHEET 2.pdf
9005-S-08-0D    [2]      WORKSHOP - STEEL WEIGHT SCHEDULES.pdf
9005-S-08-0F    [1]      TRUCK WASH STEEL WEIGHT SCHEDULES.pdf
9005-S-09-01    [1]      BLOCKWORK AND SUSPENDED SLAB DETAILS.pdf
9005-S-09-02    [2]      OFFICE FASCADE  ELEVATIONS AND DETAILS.pdf
9005-S-10-01    [1]      DETENTION TANK PLANS.pdf
9005-S-10-02    [2]      DETENTION TANK BLOCKWORK WALL PLAN AND DETAILS.pdf
9005-S-01-04    [9]      SLAB ON GROUND AND FOOTING PLAN - SECTOR 4.pdf
9005-S-01-05    [5]      WEARING SLAB PLAN.pdf
9005-S-01-06    [5]      PUMP ROOM - SLAB & FOOTING PLAN, ROOF FRAMING PLAN AND ELEVATIONS. SPRINKLER TANK RING BEAM AND DETAIL.pdf
9005-S-04-02    [6]      ELEVATIONS - SHEET 2.pdf
9005-S-04-03    [5]      ELEVATIONS - SHEET 3.pdf
9005-S-04-04    [3]      ELEVATIONS - SHEET 4.pdf
9005-S-04-06    [2]      WORKSHOP FRAMING ELEVATIONS.pdf
9005-S-05-01    [1]      SECTIONS - SHEET 1.pdf
9005-S-05-02    [4]      SECTIONS - SHEET 2.pdf
9005-S-05-03    [4]      SECTIONS - SHEET 3.pdf
9005-S-06-01    [2]      STEEL DETAILS - SHEET 1.pdf
9005-S-06-02    [2]      STEEL DETAILS - SHEET 2.pdf
9005-S-06-03    [1]      STEEL DETAILS - SHEET 3.pdf
9005-S-06-04    [1]      STEEL DETAILS - SHEET 4.pdf
9005-S-06-05    [1]      STEEL DETAILS - SHEET 5.pdf
9005-S-06-06    [3]      STEEL DETAILS - SHEET 6.pdf
9005-S-07-01    [1]      TILT PANEL DETAILS - SHEET 1.pdf
9005-S-08-0A    [4]      WAREHOUSE - STEEL WEIGHT SCHEDULES SUMMARY.pdf
9005-S-08-0B    [4]      WAREHOUSE - STEEL WEIGHT SCHEDULES DETAILED - SHEET 1.pdf
9005-S-01-09    [1]      STAIR TOWER - FOOTING & FRAMING PLANS, ELEVATIONS & SECTIONS.pdf
9005-S-02-01    [3]      SLAB ON GROUND AND FOOTING DETAILS - SHEET 1.pdf
9005-S-02-02    [3]      SLAB ON GROUND AND FOOTING DETAILS - SHEET 2.pdf
9005-S-02-03    [5]      SLAB ON GROUND AND FOOTING DETAILS - SHEET 3.pdf
9005-S-02-04    [1]      SLAB ON GROUND AND FOOTING DETAILS - SHEET 4.pdf
9005-S-03-01    [4]      ROOF FRAMING PLAN - SECTOR 1.pdf
9005-S-03-02    [3]      ROOF FRAMING PLAN - SECTOR 2.pdf
9005-S-03-03    [3]      ROOF FRAMING PLAN - SECTOR 3.pdf
9005-S-03-04    [3]      ROOF FRAMING PLAN - SECTOR 4.pdf
9005-S-03-05    [3]      MAIN OFFICE PLANS & ELEVATIONS.pdf
9005-S-03-06    [2]      RECEIVING OFFICE FRAMING PLAN AND ELEVATIONS.pdf
9005-S-03-07    [2]      WORKSHOP - ROOF FRAMING PLAN & SECTION.pdf
9005-S-03-08    [2]      TRUCK WASH PLANS AND ELEVATIONS.pdf
9005-S-03-09    [3]      DRIVERS RELAXATION PLANS, ELEVATIONS & SCHEDULES.pdf
9005-S-03-11    [3]      MSB & PLANT ROOM PLANS, ELEVATIONS AND DETAILS.pdf
9005-S-03-12    [1]      MSB & PLANT ROOM - DETAILS.pdf
9005-S-04-01    [6]      ELEVATIONS - SHEET 1.pdf
9005-S-01-03    [5]      SLAB ON GROUND AND FOOTING PLAN - SECTOR 3.pdf
9005-S-01-07    [1]      WORKSHOP - SLAB & FOOTING PLAN, MEZZANINE FRAMING PLAN & DETAILS.pdf
9005-S-01-08    [2]      CARPARK AWNING - FOOTING PLAN, ROOF FRAMING PLAN AND SECTION.pdf
